rank,name,type,context_sec,seq_len,members,test_rows,rmse_mm,mae_mm,mean_joint_error_mm,p95_mean_joint_error_mm,r2_global,dir
1,Ensemble_TCN2_TCN4_TCN6_GRU6,prediction_average_ensemble,,,tcn2s+tcn4s+tcn6s+gru6s,6613,240.0767355438588,137.9665923757982,312.3801741472319,873.0415835332911,0.9627329202196557,PIR_gpu/model_output/ensemble_tcn2_tcn4_tcn6_gru6
2,Ensemble_TCN2_TCN4_TCN6_GRU6_MLP2,prediction_average_ensemble,,,tcn2s+tcn4s+tcn6s+gru6s+mlp2s,6613,240.78918593121742,138.12755160050406,313.4032762725054,879.3686929429709,0.9625114048647081,PIR_gpu/model_output/ensemble_tcn2_tcn4_tcn6_gru6_mlp2
3,Ensemble_TCN4_TCN6_GRU6,prediction_average_ensemble,,,tcn4s+tcn6s+gru6s,6613,244.6936417530744,142.41007452259106,322.6816275160957,866.299411876107,0.9612857742658728,PIR_gpu/model_output/ensemble_tcn4_tcn6_gru6
4,Ensemble_TCN4_GRU6,prediction_average_ensemble,,,tcn4s+gru6s,6613,247.26980108921634,145.0190660676764,330.1610161818058,886.1215636586861,0.9604663086007497,PIR_gpu/model_output/ensemble_tcn4_gru6
5,TCN_4s,tcn,4.0,101,,6663,260.5250244140625,153.4152069091797,347.86395263671875,901.1612548828125,0.9565215222600998,PIR_gpu/model_output/sequence_tcn4s_gpu
6,GRU_6s,gru,6.0,151,,6613,266.5916748046875,158.56680297851562,365.239013671875,916.3246459960938,0.9540465255185877,PIR_gpu/model_output/sequence_gru6s_gpu
7,TCN_2s,tcn,2.0,51,,6713,267.8394470214844,156.20655822753906,357.2973937988281,971.0619506835938,0.9541546695184726,PIR_gpu/model_output/sequence_tcn_gpu
8,TCN_6s,tcn,6.0,151,,6613,269.61541748046875,156.49642944335938,355.3243713378906,934.8759765625,0.9529981884292174,PIR_gpu/model_output/sequence_tcn6s_gpu
9,GRU_4s,gru,4.0,101,,6663,289.0011901855469,177.1741180419922,409.6724548339844,932.0941162109375,0.9464974132775781,PIR_gpu/model_output/sequence_gru4s_gpu
10,MLP_2s,mlp,2.0,51,,6713,293.8444519042969,169.70327758789062,389.0326232910156,1054.8345947265625,0.9448200846435153,PIR_gpu/model_output/sequence_mlp_gpu
11,Transformer_4s,transformer,4.0,101,,6663,338.65704345703125,199.6717071533203,459.039306640625,1182.1719970703125,0.9265324129957067,PIR_gpu/model_output/sequence_transformer4s_gpu
12,ConvTransformer_4s,convtransformer,4.0,101,,6663,355.0456237792969,209.4813232421875,482.90875244140625,1294.0064697265625,0.9192497620674104,PIR_gpu/model_output/sequence_convtransformer4s_gpu
13,MLP_4s,mlp,4.0,101,,6663,408.96575927734375,233.0446319580078,531.9920654296875,1459.597900390625,0.8928605507766385,PIR_gpu/model_output/sequence_mlp4s_gpu
14,Ridge,ridge_regression,,,,6763,1184.0719702516212,829.6543552449298,1889.9323331502346,3219.475666469765,0.10282166876672305,PIR_gpu/model_output/baseline_ridge_v3
